Time,Reading ID#,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:05:51,351,59.8,24.3,193,439,1681,OFF,1
0:05:52,352,59.8,24.3,193,446,1699,OFF,1
0:05:53,353,59.8,24.3,193,450,1701,OFF,1
0:05:54,354,59.8,24.3,193,453,1695,OFF,1
0:05:55,355,59.8,24.3,193,443,1693,OFF,1
0:05:56,356,59.8,24.3,192,453,1703,OFF,1
0:05:57,357,59.8,24.3,193,454,1699,OFF,1
0:05:58,358,59.8,24.3,193,447,1697,OFF,1
0:05:59,359,59.9,24.3,192,445,1706,OFF,1
0:06:00,360,59.9,24.3,193,450,1702,OFF,1
0:06:01,361,59.9,24.3,193,450,1702,OFF,1
0:06:02,362,59.9,24.3,192,451,1714,OFF,1
0:06:03,363,59.9,24.3,192,449,1709,OFF,1
0:06:04,364,59.9,24.3,193,455,1719,OFF,1
0:06:05,365,59.9,24.3,192,453,1704,OFF,1
0:06:06,366,59.9,24.3,192,452,1707,OFF,1
0:06:07,367,59.9,24.3,192,456,1702,OFF,1
0:06:08,368,59.9,24.3,193,458,1714,OFF,1
0:06:09,369,59.9,24.3,192,454,1733,OFF,1
0:06:11,370,59.9,24.3,193,455,1738,OFF,1
0:06:12,371,60,24.3,193,468,1773,OFF,1
0:06:13,372,60,24.3,193,466,1768,OFF,1
0:06:14,373,60,24.3,193,466,1777,OFF,1
0:06:15,374,60,24.3,194,463,1758,OFF,1
0:06:16,375,60,24.3,194,465,1775,OFF,1
0:06:17,376,60,24.3,194,469,1781,OFF,1
0:06:18,377,60,24.3,193,465,1756,OFF,1
0:06:19,378,59.9,24.3,194,471,1750,OFF,1
0:06:20,379,59.9,24.3,194,461,1742,OFF,1
0:06:21,380,59.9,24.3,194,466,1735,OFF,1
0:06:22,381,59.9,24.3,194,467,1768,OFF,1
0:06:23,382,59.9,24.3,194,473,1779,OFF,1
0:06:24,383,59.9,24.3,194,473,1788,OFF,1
0:06:25,384,59.8,24.3,194,474,1790,OFF,1
0:06:26,385,59.8,24.3,194,472,1789,OFF,1
0:06:27,386,59.8,24.3,194,471,1794,OFF,1
0:06:28,387,59.8,24.3,194,486,1780,OFF,1
0:06:29,388,59.8,24.3,194,477,1767,OFF,1
0:06:30,389,59.8,24.3,194,470,1755,OFF,1
0:06:31,390,59.8,24.3,194,470,1761,OFF,1
0:06:32,391,59.8,24.3,194,470,1766,OFF,1
0:06:33,392,59.8,24.3,195,471,1773,OFF,1
0:06:34,393,59.8,24.3,195,482,1787,OFF,1
0:06:35,394,59.8,24.3,196,488,1802,OFF,1
0:06:36,395,59.8,24.3,196,474,1790,OFF,1
0:06:37,396,59.8,24.3,196,480,1814,OFF,1
0:06:38,397,59.8,24.3,197,486,1824,OFF,1
0:06:39,398,59.8,24.3,197,492,1848,OFF,1
0:06:40,399,59.8,24.3,197,493,1856,OFF,1
0:06:41,400,59.8,24.3,197,494,1874,OFF,1
0:06:42,401,59.8,24.3,198,498,1876,OFF,1
0:06:43,402,59.8,24.3,199,503,1880,OFF,1
0:06:44,403,59.8,24.3,199,496,1869,OFF,1
0:06:45,404,59.8,24.3,199,504,1880,OFF,1
0:06:46,405,59.8,24.3,199,502,1860,OFF,1
0:06:47,406,59.8,24.3,199,509,1876,OFF,1
0:06:48,407,59.8,24.3,199,505,1867,OFF,1
0:06:49,408,59.7,24.3,199,516,1865,OFF,1
0:06:50,409,59.7,24.3,199,514,1869,OFF,1
0:06:51,410,59.7,24.3,198,514,1852,OFF,1
0:06:52,411,59.7,24.3,198,504,1848,OFF,1
0:06:53,412,59.8,24.4,198,498,1830,OFF,1
0:06:54,413,59.8,24.4,198,502,1828,OFF,1
0:06:55,414,59.7,24.3,197,510,1837,OFF,1
0:06:56,415,59.7,24.3,197,506,1822,OFF,1
0:06:57,416,59.7,24.3,197,502,1811,OFF,1
0:06:58,417,59.8,24.4,198,508,1816,OFF,1
0:06:59,418,59.8,24.4,198,501,1826,OFF,1
0:07:00,419,59.9,24.4,198,515,1827,OFF,1
0:07:01,420,59.9,24.4,198,518,1848,OFF,1
0:07:02,421,60,24.4,198,506,1835,OFF,1
0:07:03,422,60,24.4,197,497,1795,OFF,1
0:07:04,423,59.9,24.3,197,518,1796,OFF,1
0:07:05,424,59.9,24.3,197,505,1795,OFF,1
0:07:06,425,60,24.4,196,500,1794,OFF,1
0:07:07,426,60,24.4,196,503,1812,OFF,1
0:07:08,427,60,24.4,196,507,1813,OFF,1
0:07:09,428,60,24.4,196,508,1830,OFF,1
0:07:10,429,60.1,24.4,196,510,1798,OFF,1
0:07:11,430,60.1,24.4,195,512,1812,OFF,1
0:07:12,431,60.1,24.4,195,521,1799,OFF,1
0:07:13,432,60.1,24.4,195,513,1795,OFF,1
0:07:14,433,60.1,24.4,194,509,1776,OFF,1
0:07:15,434,60.1,24.4,194,511,1760,OFF,1
0:07:16,435,60.1,24.4,194,501,1715,OFF,1
0:07:17,436,60.1,24.4,193,490,1704,OFF,1
0:07:18,437,60.1,24.4,193,496,1684,OFF,1
0:07:19,438,60.1,24.4,193,498,1682,OFF,1
