Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:04:29,270,40.5,21.6,156,965,3331,OFF,1
0:04:30,271,40.5,21.6,156,984,3338,OFF,1
0:04:31,272,40.5,21.6,156,962,3365,OFF,1
0:04:32,273,40.5,21.6,156,975,3409,OFF,1
0:04:33,274,40.5,21.6,155,978,3382,OFF,1
0:04:34,275,40.5,21.6,156,984,3399,OFF,1
0:04:35,276,40.5,21.6,156,995,3387,OFF,1
0:04:36,277,40.5,21.6,157,984,3409,OFF,1
0:04:37,278,40.5,21.6,156,995,3431,OFF,1
0:04:38,279,40.5,21.6,157,982,3451,OFF,1
0:04:39,280,40.5,21.6,157,997,3422,OFF,1
0:04:40,281,40.5,21.6,158,1015,3463,OFF,1
0:04:41,282,40.5,21.6,157,983,3402,OFF,1
0:04:42,283,40.5,21.6,157,1000,3441,OFF,1
0:04:43,284,40.5,21.6,157,997,3480,OFF,1
0:04:44,285,40.5,21.6,158,1008,3439,OFF,1
0:04:45,286,40.5,21.6,158,989,3370,OFF,1
0:04:46,287,40.5,21.6,158,982,3358,OFF,1
0:04:47,288,40.5,21.6,158,981,3291,OFF,1
0:04:48,289,40.5,21.6,158,987,3341,OFF,1
0:04:49,290,40.5,21.6,157,988,3365,OFF,1
0:04:50,291,40.6,21.6,157,989,3274,OFF,1
0:04:51,292,40.6,21.6,157,966,3252,OFF,1
0:04:52,293,40.6,21.6,157,964,3245,OFF,1
0:04:53,294,40.6,21.6,157,966,3186,OFF,1
0:04:54,295,40.6,21.6,157,967,3166,OFF,1
0:04:55,296,40.6,21.6,157,983,3176,OFF,1
0:04:56,297,40.6,21.6,156,949,3159,OFF,1
0:04:57,298,40.6,21.6,156,964,3144,OFF,1
0:04:58,299,40.6,21.6,156,969,3147,OFF,1
0:04:59,300,40.6,21.5,155,965,3152,OFF,1
0:05:00,301,40.6,21.5,156,941,3161,OFF,1
0:05:01,302,40.7,21.6,156,941,3154,OFF,1
0:05:02,303,40.7,21.6,157,940,3139,OFF,1
0:05:03,304,40.6,21.5,158,942,3179,OFF,1
0:05:04,305,40.6,21.5,158,961,3451,OFF,1
0:05:05,306,40.7,21.6,159,978,3571,OFF,1
0:05:06,307,40.7,21.6,160,989,3606,OFF,1
0:05:07,308,40.8,21.6,161,1001,3655,OFF,1
0:05:08,309,40.8,21.6,161,1012,3667,OFF,1
0:05:09,310,40.9,21.6,162,1016,3768,OFF,1
0:05:10,311,40.9,21.6,162,1035,3826,OFF,1
0:05:11,312,40.9,21.6,162,1063,3856,OFF,1
0:05:12,313,40.9,21.6,162,1048,3814,OFF,1
0:05:13,314,40.9,21.5,161,1059,3645,OFF,1
0:05:14,315,40.9,21.5,161,1082,3809,OFF,1
0:05:15,316,41,21.6,161,1050,3674,OFF,1
0:05:16,317,41,21.6,161,1072,3728,OFF,1
0:05:17,318,41,21.6,161,1077,3952,OFF,1
0:05:18,319,41,21.6,161,1086,4035,OFF,1
0:05:19,320,40.9,21.5,161,1084,3863,OFF,1
0:05:20,321,40.9,21.5,161,1085,3777,OFF,1
0:05:21,322,41,21.6,161,1084,3709,OFF,1
0:05:22,323,41,21.6,162,1091,3709,OFF,1
0:05:23,324,41,21.6,162,1076,3657,OFF,1
0:05:24,325,41,21.6,162,1080,3689,OFF,1
0:05:25,326,41,21.6,163,1058,3699,OFF,1
0:05:26,327,41,21.6,164,1043,3736,OFF,1
0:05:27,328,41,21.6,168,1066,3885,OFF,1
0:05:28,329,41,21.6,169,1083,3907,OFF,1
0:05:29,330,41,21.6,170,1093,4109,OFF,1
0:05:30,331,41,21.6,169,1119,4069,OFF,1
0:05:31,332,41.1,21.6,168,1124,4273,OFF,1
0:05:32,333,41.1,21.6,168,1139,4339,OFF,1
0:05:33,334,41.1,21.6,167,1160,4386,OFF,1
0:05:34,335,41.1,21.6,167,1174,4374,OFF,1
0:05:35,336,41.1,21.6,167,1182,4268,OFF,1
0:05:36,337,41.1,21.6,167,1176,4275,OFF,1
0:05:37,338,41.1,21.6,167,1176,4361,OFF,1
0:05:38,339,41.1,21.6,167,1182,4405,OFF,1
0:05:39,340,41.1,21.6,168,1202,4548,OFF,1
0:05:40,341,41.1,21.6,169,1216,4516,OFF,1
0:05:41,342,41.1,21.6,169,1228,4607,OFF,1
0:05:42,343,41.1,21.6,171,1228,4604,OFF,1
0:05:43,344,41.1,21.6,171,1233,4619,OFF,1
0:05:44,345,41.1,21.5,172,1243,4712,OFF,1
0:05:45,346,41.1,21.5,172,1267,4717,OFF,1
0:05:46,347,41.2,21.6,172,1262,4670,OFF,1
0:05:47,348,41.2,21.6,172,1274,4614,OFF,1
0:05:48,349,41.2,21.5,172,1262,4624,OFF,1
0:05:49,350,41.2,21.5,172,1267,4597,OFF,1
0:05:50,351,41.2,21.6,172,1262,4501,OFF,1
0:05:51,352,41.2,21.6,172,1242,4511,OFF,1
0:05:52,353,41.3,21.6,171,1258,4491,OFF,1
0:05:53,354,41.3,21.6,171,1249,4430,OFF,1
0:05:54,355,41.3,21.6,171,1255,4420,OFF,1
0:05:55,356,41.3,21.6,171,1228,4342,OFF,1
0:05:56,357,41.3,21.6,171,1247,4339,OFF,1
0:05:57,358,41.3,21.6,170,1233,4354,OFF,1
0:05:58,359,41.3,21.6,170,1232,4312,OFF,1
0:05:59,360,41.3,21.6,171,1244,4320,OFF,1
0:06:00,361,41.3,21.6,171,1223,4317,OFF,1
0:06:01,362,41.3,21.6,171,1224,4344,OFF,1
0:06:02,363,41.3,21.6,171,1219,4337,OFF,1
0:06:03,364,41.3,21.6,171,1215,4388,OFF,1
0:06:04,365,41.3,21.6,172,1245,4653,OFF,1
0:06:05,366,41.3,21.6,173,1253,4680,OFF,1
0:06:06,367,41.3,21.5,174,1283,4715,OFF,1
0:06:07,368,41.3,21.5,174,1285,4742,OFF,1
0:06:08,369,41.4,21.6,175,1286,4803,OFF,1
0:06:09,370,41.4,21.6,175,1295,4845,OFF,1
0:06:10,371,41.4,21.5,176,1323,4950,OFF,1
0:06:11,372,41.4,21.5,176,1327,4916,OFF,1
0:06:12,373,41.5,21.6,176,1305,4886,OFF,1
0:06:13,374,41.5,21.6,176,1331,4852,OFF,1
0:06:14,375,41.5,21.5,176,1339,4847,OFF,1
0:06:15,376,41.5,21.5,176,1337,4857,OFF,1
0:06:16,377,41.6,21.6,177,1356,4899,OFF,1
0:06:17,378,41.6,21.6,177,1322,4882,OFF,1
0:06:18,379,41.6,21.6,177,1330,4913,OFF,1
0:06:19,380,41.6,21.6,178,1335,4926,OFF,1
0:06:20,381,41.6,21.6,178,1349,4950,OFF,1
0:06:21,382,41.6,21.6,178,1349,4972,OFF,1
0:06:22,383,41.6,21.6,178,1390,4989,OFF,1
0:06:23,384,41.6,21.6,179,1388,5035,OFF,1
0:06:24,385,41.6,21.5,179,1379,5122,OFF,1
